ID,ProudSkillGroup,Name,JobType,JobLv,EquipType,SkillGroup,ProfessionIcon,Recommand,Describe,RecommendSkills,RecommendEquip,chuansong
1,,游民,JT_Newbie,1,IST_Crystal:1;IST_Axe:1;IST_Sword:1;IST_Spear:1;IST_Bow:1;IST_Stick:1;IST_Knife:1;IST_Hat:1;IST_Helmet:1;IST_Clothes:1;IST_Robe:1;IST_Armor:1;IST_Boot:1;IST_Shoes:1;IST_Shield:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,,,PT_Stama:2;PT_Strength:1;PT_Speed:1,,,,
2,1001;1061;1011;1031;1081;1091,见习佣兵,JT_Axe,1,IST_Sword:3;IST_Axe:4;IST_Spear:3;IST_Bow:3;IST_Knife:3;IST_Armor:4;IST_Clothes:3;IST_Helmet:4;IST_Hat:3;IST_Shoes:3;IST_Boot:4;IST_Shield:4;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:4;1061:4;1051:2;1011:4;1031:4;1021:4;1081:4;2501:4;2521:4;1091:4;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,yongbing.png,PT_Stama:1;PT_Strength:2;PT_Speed:1,"挥舞著明晃晃的大斧，以终极重力横扫著一群一群的敌人,佣兵是各职业中攻最高的，想体验高战斗能力的你佣兵是你最好的选择！",连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n破防:最高可到10级\n魔能摄取:最高可到10级\n自体再生:最高可到10级,斧：最高可装备4级\n头盔：最高可装备4级\n铠甲：最高可装备4级\n靴子：最高可装备4级,"2,1;200"
3,1001;1061;1011;2501;1091,见习剑士,JT_Sword,1,IST_Sword:4;IST_Axe:3;IST_Spear:3;IST_Bow:3;IST_Knife:3;IST_Armor:4;IST_Clothes:3;IST_Helmet:4;IST_Hat:3;IST_Shoes:3;IST_Boot:4;IST_Shield:4;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:4;1061:4;1051:2;1011:4;1031:4;1021:4;1081:4;2501:4;2521:4;1091:4;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:1;PT_Strength:1;PT_Speed:2,挥动著手中的圣剑，毫不留情的斩杀所有危害善良的邪恶魔物…剑是武器中的君子，剑士就可谓是战士中的强者，不妨试下，去体验英雄的滋味。,连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n神圣护盾:最高可到10级\n自体再生:最高可到10级,剑：最高可装备4级\n头盔：最高可装备4级\n铠甲：最高可装备4级\n靴子：最高可装备4级,999;201
4,1001;1061;1011;1021;2521;1091,见习骑士,JT_Knight,1,IST_Sword:3;IST_Axe:3;IST_Spear:4;IST_Bow:3;IST_Knife:3;IST_Armor:4;IST_Clothes:3;IST_Helmet:4;IST_Hat:3;IST_Shoes:3;IST_Boot:4;IST_Shield:4;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:4;1061:4;1051:2;1011:4;1031:4;1021:4;1081:4;2501:4;2521:4;1091:4;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Strength:1;PT_Speed:1,拥有高尚的骑士精神，绝不允许别人伤害自己队友的热血…超高的防御力让骑士成为战斗中最难缠的角色之一。喜欢刀枪不入的你，骑士就是你最佳的选择!,连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n反击:最高可到10级\n守护:最高可到10级\n自体再生:最高可到10级,枪：最高可装备4级\n头盔：最高可装备4级\n铠甲：最高可装备4级\n靴子：最高可装备4级,
5,1041;2521;1091,见习猎人,JT_Archer,1,IST_Sword:3;IST_Axe:3;IST_Spear:3;IST_Bow:4;IST_Knife:3;IST_Armor:3;IST_Clothes:4;IST_Helmet:3;IST_Hat:4;IST_Shoes:4;IST_Boot:3;IST_Shield:3;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:4;1061:4;1041:4;1051:2;1011:4;1031:4;1021:4;1081:4;2501:4;2521:4;1091:4;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2;1062:4,gongjian.png,PT_Stama:1;PT_Strength:2;PT_Speed:1,藏匿在隐密的地点，优雅的取出箭矢搭在弓上，精准瞄准著敌人的心脏，手起矢出，敌人应声而倒…难度小，适合刚进大陆的你。,乱射:最高可到10级\n守护:最高可到10级\n自体再生:最高可到10级,弓：最高可装备4级\n帽子：最高可装备4级\n衣服：最高可装备4级\n鞋子：最高可装备4级,"2,1;200"
6,1051;1031;1021;1081;2521;1091,见习武僧,JT_Fighter,1,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:0;IST_Knife:0;IST_Armor:0;IST_Clothes:4;IST_Robe:0;IST_Helmet:0;IST_Hat:4;IST_Shoes:4;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1051:4;1031:4;1021:4;1081:4;2521:4;1091:4;1071:4;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:1;PT_Strength:2;PT_Speed:1,赤手空拳将敌人击败在自己的拳头之上…格斗空手的威力比其它职业的要大。想体验战斗系技能的精髓的你，就尝试这个职业吧。,元气爆:最高可到10级\n破防:最高可到10级\n反击:最高可到10级\n魔能摄取:最高可到10级\n守护最高可到10级\n自体再生:最高可到10级\n,帽子：最高可装备4级\n衣服：最高可装备4级\n鞋子：最高可装备4级,
7,2511;2581;2531;2541;2551;2561;2571,初级刺客,JT_Ninja,1,IST_Sword:4;IST_Axe:4;IST_Spear:4;IST_Bow:2;IST_Stick:0;IST_Knife:3;IST_Armor:0;IST_Clothes:0;IST_Robe:0;IST_Helmet:0;IST_Hat:0;IST_Shoes:0;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:2;1061:2;1051:2;1011:2;1031:2;1021:2;1081:2;2501:2;2521:2;1091:2;2511:4;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:4;2531:4;2541:4;2551:4;2561:4;2571:4,,PT_Stama:1;PT_Power:1;PT_Speed:2,漂亮的刺杀，通常可以一轮把对方带走，赢得队友羡慕的眼光…喜欢向难度挑战的玩家可以选择刺客这个职业。,刺杀:最高可到10级\n抗毒:最高可到10级\n抗昏睡:最高可到10级\n抗石化:最高可到10级\n抗酒醉最高可到10级\n抗混乱最高可到10级\n抗遗忘:最高可到10级,剑：最高可装备4级\n斧：最高可装备4级\n枪：最高可装备4级,999;202
8,2601,见习德鲁伊,JT_Feeder,1,IST_Sword:3;IST_Axe:3;IST_Spear:3;IST_Bow:3;IST_Stick:3;IST_Knife:3;IST_Armor:0;IST_Clothes:4;IST_Robe:0;IST_Helmet:0;IST_Hat:4;IST_Shoes:4;IST_Boot:0;IST_Shield:3;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:4;1001:2;1061:2;1051:2;1011:2;1031:2;1021:2;1081:2;2501:2;2521:2;1091:2;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:1;PT_Strength:2;PT_Speed:1,德鲁伊的专长就是快速培养一只宠物，要培养一只高等级宠物是相当容易的…想要培养更多高级宠物的你，这个职业更适合你,宠物强化:最高可到10级,小刀：最高可装备4级\n帽子：最高可装备4级\n衣服：最高可装备4级\n鞋子：最高可装备4级,999;204
9,2591,见习驯兽师,JT_Animal,1,IST_Sword:3;IST_Axe:3;IST_Spear:3;IST_Bow:3;IST_Stick:3;IST_Knife:4;IST_Armor:0;IST_Clothes:4;IST_Robe:0;IST_Helmet:0;IST_Hat:4;IST_Shoes:4;IST_Boot:0;IST_Shield:3;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:4;2601:2;1001:2;1061:2;1051:2;1011:2;1031:2;1021:2;1081:2;2501:2;2521:2;1091:2;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:1;PT_Strength:2;PT_Speed:1,驯兽师这个职业最大的好处就是不怕宠物不听话，并减少耗魔对战斗有很大的帮助，喜爱宠物的你一定不要错过这个职业。,宠物之友:最高可到10级,小刀：最高可装备4级\n帽子：最高可装备4级\n衣服：最高可装备4级\n鞋子：最高可装备4级,
10,2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121,见习法师,JT_Mage,1,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:4;IST_Knife:3;IST_Armor:0;IST_Clothes:3;IST_Robe:4;IST_Helmet:0;IST_Hat:4;IST_Shoes:4;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:2;1061:2;1051:2;1011:4;1031:2;1021:2;1081:2;2521:2;1091:2;2361:2;2371:2;2381:2;2391:2;2121:4;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:4;2011:4;2021:4;2031:4;2041:4;2051:4;2061:4;2071:4;2081:4;2091:4;2101:4;2111:4;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,fashi.png,PT_Stama:1;PT_Magic:2;PT_Speed:1,吟唱着古老的咒文，释放出强大的精神力，以毁灭性的魔法将眼前的敌人带入死亡的地狱…如果你想体验群攻强大的魔法威力，就选择法师吧。,单体输出魔法:最高可到10级\n十字输出魔法:最高可到10级\n全体输出魔法:最高可到10级\n吸血魔法:最高可到10级,杖：最高可装备4级\n帽子：最高可装备4级\n袍：最高可装备4级\n鞋子：最高可装备4级,"2,1;200"
11,2361;2371;2381;2391,见习牧师,JT_Sage,1,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:4;IST_Knife:0;IST_Armor:0;IST_Clothes:3;IST_Robe:4;IST_Helmet:0;IST_Hat:4;IST_Shoes:4;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:2;1061:2;1051:2;1011:2;1011:4;1021:2;1081:2;2521:2;1091:2;2361:4;2371:4;2381:4;2391:4;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:4;2421:2;2431:2;2401:4;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,mushi.png,PT_Stama:2;PT_Magic:1;PT_Speed:1,默念着回复体力的神圣咒文，让身受重伤的队友重新站起来，永远在后面支持着队友…如果你喜欢交朋友或照顾大家，这个职业最适合不过了。,恢复术:最高可到10级\n十字恢复术:最高可到10级\n全体恢复术:最高可到10级\n复活:最高可到10级,杖：最高可装备4级\n帽子：最高可装备4级\n袍：最高可装备4级\n鞋子：最高可装备4级,"2,1;200"
12,2441;2451;2461;2471;2481;2491;2411;2421;2431;2401,见习巫师,JT_Wizard,1,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:4;IST_Knife:0;IST_Armor:0;IST_Clothes:3;IST_Robe:4;IST_Helmet:0;IST_Hat:4;IST_Shoes:4;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:2;1061:2;1051:2;1011:2;1031:2;1021:2;1081:2;2521:2;1091:2;2361:2;2371:2;2381:2;2391:2;2121:2;2441:4;2451:4;2461:4;2471:4;2481:4;2491:4;2411:4;2421:4;2431:4;2401:4;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Magic:1;PT_Speed:1,将魔力注入到自己的体内，使敌人的攻击能量转为回复能量。笑看着敌人精疲力尽的一个一个倒下…巫师难度高实力强，有实力的你快来挑战。,吸收技能:最高可到10级\n反弹技能:最高可到10级\n无效技能:最高可到10级\n恢复魔法:最高可到10级\n十字恢复魔法:最高可到10级\n全体恢复魔法:最高可到10级\n净化术:最高可到10级,杖：最高可装备4级\n帽子：最高可装备4级\n袍：最高可装备4级\n鞋子：最高可装备4级,
13,2131;2141;2151;2161;2171;2181;2191;2201;2211;2221;2231;2241;2251;2261;2271;2281;2291;2301,见习咒术师,JT_Word,1,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:4;IST_Knife:3;IST_Armor:0;IST_Clothes:3;IST_Robe:4;IST_Helmet:0;IST_Hat:4;IST_Shoes:4;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:1;2601:1;1001:2;1061:2;1051:2;1011:4;1031:2;1021:2;1081:2;2521:2;1091:2;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:4;2141:4;2151:4;2161:4;2171:4;2181:4;2191:4;2201:4;2211:4;2221:4;2231:4;2241:4;2251:4;2261:4;2271:4;2281:4;2291:4;2301:4;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Magic:1;PT_Speed:1,在战斗中施展各种各样的咒术，使得敌人动弹不得，方寸大乱…想随心所欲的玩弄敌人的你，咒术师是不错的选择。,单体状态魔法:最高可到10级\n十字状态魔法:最高最高可到10级\n全体状态魔法:最高可到10级\n,杖：最高可装备4级\n帽子：最高可装备4级\n袍：最高可装备4级\n鞋子：最高可装备4级,999;203
14,1001;1061;1011;1031;1081;1091,佣兵,JT_Axe,2,IST_Sword:3;IST_Axe:6;IST_Spear:3;IST_Bow:3;IST_Knife:3;IST_Armor:6;IST_Clothes:3;IST_Helmet:6;IST_Hat:3;IST_Shoes:3;IST_Boot:6;IST_Shield:6;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:6;1061:6;1051:3;1011:6;1031:6;1021:4;1081:6;2501:4;2521:4;1091:6;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,yongbing.png,PT_Stama:1;PT_Strength:2;PT_Speed:1,"挥舞著明晃晃的大斧，以终极重力横扫著一群一群的敌人,佣兵是各职业中攻最高的，想体验高战斗能力的你佣兵是你最好的选择！",连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n破防:最高可到10级\n魔能摄取:最高可到10级\n自体再生:最高可到10级,斧：最高可装备6级\n头盔：最高可装备6级\n铠甲：最高可装备6级\n靴子：最高可装备6级,
15,1001;1061;1011;2501;1091,剑士,JT_Sword,2,IST_Sword:6;IST_Axe:3;IST_Spear:3;IST_Bow:3;IST_Knife:3;IST_Armor:6;IST_Clothes:3;IST_Helmet:6;IST_Hat:3;IST_Shoes:3;IST_Boot:6;IST_Shield:6;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:6;1061:6;1051:3;1011:6;1031:4;1021:4;1081:4;2501:6;2521:4;1091:6;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:1;PT_Strength:1;PT_Speed:2,挥动著手中的圣剑，毫不留情的斩杀所有危害善良的邪恶魔物…剑是武器中的君子，剑士就可谓是战士中的强者，不妨试下，去体验英雄的滋味。,连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n神圣护盾:最高可到10级\n自体再生:最高可到10级,剑：最高可装备6级\n头盔：最高可装备6级\n铠甲：最高可装备6级\n靴子：最高可装备6级,
16,1001;1061;1011;1021;2521;1091,骑士,JT_Knight,2,IST_Sword:3;IST_Axe:3;IST_Spear:6;IST_Bow:3;IST_Knife:3;IST_Armor:6;IST_Clothes:3;IST_Helmet:6;IST_Hat:3;IST_Shoes:3;IST_Boot:6;IST_Shield:6;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:6;1061:6;1051:3;1011:6;1031:4;1021:6;1081:4;2501:4;2521:6;1091:6;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Strength:1;PT_Speed:1,拥有高尚的骑士精神，绝不允许别人伤害自己队友的热血…超高的防御力让骑士成为战斗中最难缠的角色之一。喜欢刀枪不入的你，骑士就是你最佳的选择!,连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n反击:最高可到10级\n守护:最高可到10级\n自体再生:最高可到10级,枪：最高可装备6级\n头盔：最高可装备6级\n铠甲：最高可装备6级\n靴子：最高可装备6级,
